Loss Variant,Alpha,Gamma,Accuracy,Recall (Exclusion Err Reduction),Exclusion Err (FNR),Precision,ROC-AUC,Brier Score,ECE
"Standard BCE (alpha=1.0, gamma=0.0)",1.0,0.0,0.951,0.847,15.3%,0.95,0.978,0.0403,0.0291
"Asymmetric Weighting Only (alpha=4.0, gamma=0.0)",4.0,0.0,0.952,0.919,8.1%,0.891,0.978,0.0399,0.0465
"Focal Loss Only (alpha=1.0, gamma=2.0)",1.0,2.0,0.917,0.805,19.5%,0.85,0.927,0.0735,0.0458
"Full PWC-Loss (alpha=4.0, gamma=2.0 Proposed)",4.0,2.0,0.957,0.883,11.7%,0.937,0.979,0.0366,0.0251
