Model,Accuracy,Precision,Recall (Sensitivity),Exclusion Error (FNR),F1-Score,ROC-AUC,Brier Score,ECE,Train Time (s),Inference Time (s)
Logistic Regression,0.826,0.706,0.505,49.5%,0.589,0.848,0.1266,0.0296,0.082,0.003
Explainable Boosting Machine (EBM),0.853,0.745,0.609,39.1%,0.671,0.88,0.1103,0.0315,17.274,0.01
Random Forest,0.948,0.965,0.817,18.3%,0.885,0.984,0.0471,0.0808,0.209,0.059
XGBoost (Standard),0.951,0.95,0.847,15.3%,0.896,0.978,0.0403,0.0291,0.185,0.029
LightGBM,0.934,0.922,0.798,20.2%,0.856,0.973,0.0548,0.0582,1.542,0.008
CatBoost,0.929,0.928,0.771,22.9%,0.842,0.957,0.0642,0.0578,0.589,0.008
Deep Tabular (MLP),0.913,0.862,0.771,22.9%,0.814,0.943,0.076,0.0647,3.904,0.006
XGBoost (PWC-Loss Proposed),0.957,0.937,0.883,11.7%,0.909,0.979,0.0366,0.0251,1.029,0.068
