Male Selection Rate,Female Selection Rate,DP Difference,Male TPR,Female TPR,Equal Opportunity Diff,Equalized Odds Diff,Male Group ECE,Female Group ECE,Model
0.142,0.234,0.092,0.435,0.583,0.147,0.08,0.036,0.0453,Logistic Regression
0.162,0.267,0.105,0.536,0.691,0.154,0.084,0.0447,0.0253,Explainable Boosting Machine (EBM)
0.171,0.271,0.1,0.81,0.825,0.015,0.017,0.0743,0.095,Random Forest
0.184,0.281,0.097,0.778,0.762,0.016,0.026,0.0514,0.0929,Deep Tabular (MLP)
0.194,0.296,0.103,0.887,0.879,0.008,0.015,0.0299,0.0343,XGBoost (PWC-Loss Proposed)
