,gamma=0.0,gamma=1.0,gamma=2.0,gamma=3.0,gamma=4.0
alpha=1.0,0.07798829620945652,0.12129951488211065,0.12939981942622297,0.14197864889062037,0.24633891213389122
alpha=2.0,0.10777003947006361,0.12787337141758356,0.12386709699508533,0.7066426023950014,0.2811213285865839
alpha=3.0,0.127210141237529,0.1323684998807423,0.11984725387096716,0.11491962076188161,0.7536610878661087
alpha=4.0,0.1413238554117445,0.14029133899885557,0.12300366162279597,0.24633207371871665,0.718645523154608
alpha=5.0,0.1537043724255831,0.1429783479762595,0.12708070619561745,0.15912870641517218,0.7535568989470414
